HR Database,,,,,,
Employee number,Legal First Name,Surname,Entity,Functon,Office Location,Email
10232,Peter,Smith,Digicorp,Engineering,"New York, 5th Ave",peter.smith@digicorp.com
10478,Alan,Lee,Digicorp,Group Leaderhip,"New York, 5th Ave",alee@digicorp.com
29342,Bruno ,Lyon,Digicorp,Engineering,"SFO, 1 Mission",bruno.lyon@digicorp.com
80001,Alan,Champion,Digicorp,Engineering,"SFO, 1 Mission",alan.champion@digicorp.com
29333,Norman ,Ligos,Digicorp,Engineering,"SFO, 1 Mission",nligos@digicorp.com
45686,Sophia,Berlin,Digicorp,Engineering,Houston,sophia.berlin@digicorp.com
,,,,,,
Sunways application user extract,,,,,,
Name,Label,Email,Last modified,Created,,
test,peter,cypher9@digi-inc.com,21/08/2018 11:15,25/01/2018 18:09,,
user,lee,cypher1@digi-inc.com,30/07/2018 14:47,03/09/2018 18:05,,
admin main,bl,admin@digi-inc.com,13/09/2019 10:54,22/08/2018 10:22,,
admin 1,ac,admin@digi-inc.com,21/11/2018 16:11,30/07/2018 14:47,,
user 364,NLigos,cypher10@digi-inc.com,21/11/2018 16:12,25/09/2018 12:35,,
user 24,sobe,cypher2@digi-inc.corp,21/11/2018 16:14,25/04/2018 12:35,,
