2FA Status,edge_1,Account,edge_2,Detection
"Enforced, Enrolled",has 2FA status,peter.smith@digicorp.com,has detection,
"Not Enforced, Not Enrolled",has 2FA status,alee@digicorp.com,has detection for,5+ failed logins
"Enforced, Enrolled",has 2FA status,bruno.lyon@digicorp.com,has detection for,5+ failed logins
"Enforced, Enrolled",has 2FA status,alan.champion@digicorp.com,has detection for,
"Enforced, Enrolled",has 2FA status,peter.smith2@digicorp.com,has detection for,5+ failed logins
"Enforced, Enrolled",has 2FA status,nligos@digicorp.com,has detection for,Disable 2FA
,,,,
,,Account,edge_2,Detection
,,peter.smith@digicorp.com,has detection,
,,alee@digicorp.com,has detection,Login from non-DigiCorp IP 
,,bruno.lyon@digicorp.com,has detection,
,,alan.champion@digicorp.com,has detection,
,,peter.smith2@digicorp.com,has detection,
,,nligos@digicorp.com,has detection,Impossible Journey
,,,,
,,Account,edge_2,Detection
,,cypher9@digi-inc.com,has detection,
,,cypher1@digi-inc.com,has detection,Login from non-DigiCorp IP
,,admin@digi-inc.com,has detection,
,,admin@digi-inc.com,has detection,Login from non-DigiCorp IP
,,cypher10@digi-inc.com,has detection,
,,cypher2@digi-inc.corp,has detection,
,,,,
,,Account,edge_2,Detection
,,cypher9@digi-inc.com,has detection,
,,cypher1@digi-inc.com,has detection,Password change
,,admin@digi-inc.com,has detection,
,,admin@digi-inc.com,has detection,
,,cypher10@digi-inc.com,has detection,
,,cypher2@digi-inc.corp,has detection,
