Pillar,edge_1,Capability,edge_2,Role,edge_3,Person
Program Management,delivers,Strategic planning,is owned by,CISO,role is assigned to,Emma Victory
Program Management,delivers,Budget management,is owned by,CISO,role is assigned to,Emma Victory
Program Management,delivers,People management,is owned by,CISO,role is assigned to,Emma Victory
Program Management,delivers,Project management,is owned by,CISO,role is assigned to,Emma Victory
Situational understanding,delivers,Business context intelligence,is owned by,Head of Risk,role is assigned to,Simon Dickens
Situational understanding,delivers,Asset intelligence,is owned by,Head of Risk,role is assigned to,Simon Dickens
Situational understanding,delivers,Threat and vulnerability intelligence,is owned by,Head of Risk,role is assigned to,Simon Dickens
Situational understanding,delivers,Impact and risk intelligence,is owned by,Head of Risk,role is assigned to,Simon Dickens
Culture of Operations,delivers,Accountable roles,is owned by,Head of Risk,role is assigned to,Simon Dickens
Culture of Operations,delivers,Targeted training and comms,is owned by,Head of Risk,role is assigned to,Simon Dickens
Culture of Operations,delivers,Security EQ and IQ measurement,is owned by,Head of Risk,role is assigned to,Simon Dickens
Culture of Operations,delivers,Support and enforcement,is owned by,Head of Risk,role is assigned to,Simon Dickens
Govern and Assure,delivers,Policy and standards,is owned by,Head of Risk,role is assigned to,Simon Dickens
Govern and Assure,delivers,Compliance readiness,is owned by,Head of Risk,role is assigned to,Simon Dickens
Govern and Assure,delivers,Timely assurance and remediation,is owned by,Head of Risk,role is assigned to,Simon Dickens
Govern and Assure,delivers,Audit response,is owned by,Head of Risk,role is assigned to,Simon Dickens
Prevent and Protect,delivers,Identity and access management,is owned by,Head of Application Security,role is assigned to,Paul Holmes
Prevent and Protect,delivers,Secure architecture,is owned by,Head of Application Security,role is assigned to,Paul Holmes
Prevent and Protect,delivers,Secure engineering,is owned by,Head of Application Security,role is assigned to,Paul Holmes
Prevent and Protect,delivers,Data controls,is owned by,Head of Application Security,role is assigned to,Paul Holmes
"Detect, Respond, Recover",delivers,Incident response and threat management,is owned by,Head of Security Operations,role is assigned to,Ivan Watson
"Detect, Respond, Recover",delivers,Detection engineering,is owned by,Head of Security Operations,role is assigned to,Ivan Watson
"Detect, Respond, Recover",delivers,Security capability testing,is owned by,Head of Security Operations,role is assigned to,Ivan Watson
"Detect, Respond, Recover",delivers,Continuity and disaster recovery,is owned by,Head of Security Operations,role is assigned to,Ivan Watson
